x,y,
1060.3337,1275.6666,
1045.5527,1283.3745000000001,
1030.7806,1291.0778,
1015.9996000000001,1298.7857000000001,
1001.2187000000001,1306.4936000000002,
986.4465400000001,1314.1969000000001,
971.6656000000002,1321.9048000000003,
956.8846500000002,1329.6127000000004,
942.1124900000002,1337.3160000000003,
927.3315400000002,1345.0239000000004,
912.5506000000003,1352.7318000000005,
897.7785200000003,1360.4351000000004,
882.9974900000003,1368.1430000000005,
868.2165500000003,1375.8509000000006,
853.4444600000003,1383.5542000000005,
838.6634400000003,1391.2621000000006,
823.8825000000003,1398.9700000000007,
809.1015600000003,1406.6779000000008,
794.3293900000003,1414.3812000000007,
779.5484500000003,1422.0891000000008,
749.9957700000003,1437.4986000000008,
766.5117700000003,1435.3122000000008,
783.0375600000003,1433.1245000000008,
799.5633500000004,1430.9368000000009,
816.0793500000003,1428.7505000000008,
832.6051400000003,1426.5628000000008,
849.1309300000004,1424.3751000000009,
865.6568200000004,1422.187500000001,
882.1727200000004,1420.0011000000009,
898.6985100000004,1417.813400000001,
915.2244000000004,1415.625700000001,
931.7403000000004,1413.439400000001,
948.2660900000004,1411.251700000001,
964.7918900000004,1409.064100000001,
981.3078800000004,1406.877700000001,
997.8336700000004,1404.690000000001,
1014.3595000000005,1402.502400000001,
1030.8755000000006,1400.316000000001,
1047.4013000000004,1398.128300000001,
1063.9271000000003,1395.940600000001,
1080.4429000000002,1393.754300000001,
1096.9688000000003,1391.566600000001,
1113.4946000000002,1389.378900000001,
1130.0105000000003,1387.192600000001,
1146.5364000000004,1385.004900000001,
1163.0622000000003,1382.817200000001,
1179.5781000000004,1380.630900000001,
1196.1040000000005,1378.443200000001,
1212.6298000000004,1376.2555000000011,
1229.1457000000005,1374.069200000001,
1245.6716000000006,1371.881500000001,
1262.1974000000005,1369.6938000000011,
1278.7133000000006,1367.507500000001,
1295.2391000000005,1365.3198000000011,
1311.7650000000006,1363.1321000000012,
1328.2808000000005,1360.9457000000011,
1344.8066000000003,1358.7581000000011,
1361.3325000000004,1356.5704000000012,
1377.8583000000003,1354.3827000000013,
1394.3742000000004,1352.1964000000012,
1410.9001000000005,1350.0087000000012,
1427.4259000000004,1347.8210000000013,
1443.9418000000005,1345.6347000000012,
1450.8708000000006,2078.806100000001,
1438.5797000000007,2067.559600000001,
1426.2812000000006,2056.306300000001,
1413.9828000000007,2045.053000000001,
1401.6917000000008,2033.806400000001,
1389.3932000000007,2022.553100000001,
1377.0948000000008,2011.299800000001,
1364.8037000000008,2000.053200000001,
1352.5052000000007,1988.799900000001,
1340.2068000000008,1977.5466000000008,
1327.915700000001,1966.3000000000009,
1315.6172000000008,1955.0467000000008,
1303.318800000001,1943.7934000000007,
1291.027800000001,1932.5469000000007,
1278.7293000000009,1921.2936000000007,
1266.4308000000008,1910.0402000000006,
1254.1398000000008,1898.7937000000006,
1241.841400000001,1887.5404000000005,
1229.5428000000009,1876.2870000000005,
1217.251800000001,1865.0405000000005,
1204.953400000001,1853.7872000000004,
1192.654900000001,1842.5339000000004,
1180.3564000000008,1831.2806000000003,
1168.0654000000009,1820.0340000000003,
1155.7669000000008,1808.7807000000003,
1143.4685000000009,1797.5274000000002,
1131.177400000001,1786.2808000000002,
1118.879000000001,1775.0275000000001,
1106.580500000001,1763.7742,
1094.289400000001,1752.5277,
1081.9910000000011,1741.2744,
1069.692500000001,1730.021,
